,unique_id,ds,cutoff,y,Naive,MA_4,MA_6,MA_8,MA_10,MA_12,MA_14,MA_16,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES,Holt,Holt‑Winters
0,Demand Amoxicillin Fürth,2021-07-11,2021-07-04,329.0,375.0,382.88315,373.05127,345.29233,352.05487,370.0851,338.53735,327.49158,436.75726,413.17496,397.35193,388.48468,383.27985,380.02893,377.87802,376.4227,375.49097,375.0,376.5049,376.72415,281.29944
1,Demand Amoxicillin Fürth,2021-07-18,2021-07-04,254.0,375.0,364.2236,363.5716,357.1437,362.1469,368.72232,313.1403,328.63538,436.75726,413.17496,397.35193,388.48468,383.27985,380.02893,377.87802,376.4227,375.49097,375.0,376.5049,376.7191,264.78574
2,Demand Amoxicillin Fürth,2021-07-25,2021-07-04,254.0,375.0,375.31747,373.73764,354.78387,357.48203,366.91068,329.7895,333.49524,436.75726,413.17496,397.35193,388.48468,383.27985,380.02893,377.87802,376.4227,375.49097,375.0,376.5049,376.71503,259.5471
3,Demand Amoxicillin Fürth,2021-08-01,2021-07-04,262.0,375.0,392.41815,378.5545,363.96906,363.20688,378.78104,321.91867,352.4944,436.75726,413.17496,397.35193,388.48468,383.27985,380.02893,377.87802,376.4227,375.49097,375.0,376.5049,376.7118,253.06758
4,Demand Amoxicillin Fürth,2021-08-08,2021-08-01,233.0,262.0,294.66586,282.54657,280.97983,257.0046,267.77115,282.23944,273.70645,380.17456,328.4781,298.5363,281.10922,270.7675,264.90634,262.0209,261.07587,261.27966,262.0,261.04623,257.0766,270.5324
5,Demand Amoxicillin Fürth,2021-08-15,2021-08-01,226.0,262.0,342.32748,331.50415,303.47284,282.64624,279.4121,306.05273,307.41934,380.17456,328.4781,298.5363,281.10922,270.7675,264.90634,262.0209,261.07587,261.27966,262.0,261.04623,253.88019,348.9191
6,Demand Amoxicillin Fürth,2021-08-22,2021-08-01,325.0,262.0,377.79236,369.9635,330.21118,325.66245,305.93524,330.77023,331.83066,380.17456,328.4781,298.5363,281.10922,270.7675,264.90634,262.0209,261.07587,261.27966,262.0,261.04623,250.68378,331.52814
7,Demand Amoxicillin Fürth,2021-08-29,2021-08-01,348.0,262.0,391.90335,386.44922,333.54562,296.97525,287.5557,313.9447,304.35117,380.17456,328.4781,298.5363,281.10922,270.7675,264.90634,262.0209,261.07587,261.27966,262.0,261.04623,247.48738,357.12216
8,Demand Amoxicillin Fürth,2021-09-05,2021-08-29,339.0,348.0,370.2714,379.14957,380.21655,351.18878,375.6138,360.59586,385.79453,348.7742,308.93182,301.52628,306.30695,314.98547,324.2248,332.61407,339.54092,344.71982,348.0,341.7373,337.6404,324.43863
9,Demand Amoxicillin Fürth,2021-09-12,2021-08-29,327.0,348.0,426.36893,428.62833,418.5053,390.6295,388.69977,384.79602,380.6262,348.7742,308.93182,301.52628,306.30695,314.98547,324.2248,332.61407,339.54092,344.71982,348.0,341.7373,335.4494,346.58502
10,Demand Amoxicillin Fürth,2021-09-19,2021-08-29,349.0,348.0,431.75488,422.76328,447.73013,423.4821,420.82935,399.92712,390.42374,348.7742,308.93182,301.52628,306.30695,314.98547,324.2248,332.61407,339.54092,344.71982,348.0,341.7373,333.25842,320.71875
11,Demand Amoxicillin Fürth,2021-09-26,2021-08-29,347.0,348.0,401.91107,416.654,439.94727,392.14404,413.1756,359.685,401.58884,348.7742,308.93182,301.52628,306.30695,314.98547,324.2248,332.61407,339.54092,344.71982,348.0,341.7373,331.0674,333.89566
12,Demand Amoxicillin Fürth,2021-10-03,2021-09-26,369.0,347.0,346.25024,352.59552,329.73346,367.41983,345.41928,369.5572,357.64923,346.14084,328.34808,332.73856,338.63498,342.49908,344.66974,345.89227,346.61685,346.99258,347.0,346.79123,346.79694,364.5017
13,Demand Amoxicillin Fürth,2021-10-10,2021-09-26,347.0,347.0,384.11154,371.46716,359.2088,400.81918,359.859,390.96765,357.9612,346.14084,328.34808,332.73856,338.63498,342.49908,344.66974,345.89227,346.61685,346.99258,347.0,346.79123,346.84274,378.40402
14,Demand Amoxicillin Fürth,2021-10-17,2021-09-26,362.0,347.0,410.35864,383.13104,401.39917,415.5281,414.85703,408.09332,371.02704,346.14084,328.34808,332.73856,338.63498,342.49908,344.66974,345.89227,346.61685,346.99258,347.0,346.79123,346.8794,379.43826
15,Demand Amoxicillin Fürth,2021-10-24,2021-09-26,371.0,347.0,399.74838,391.87845,380.0905,389.2371,412.25616,396.02844,369.6565,346.14084,328.34808,332.73856,338.63498,342.49908,344.66974,345.89227,346.61685,346.99258,347.0,346.79123,346.9087,384.23273
16,Demand Amoxicillin Fürth,2021-10-31,2021-10-24,361.0,371.0,354.19144,369.26132,342.2499,378.04416,328.21603,370.12082,371.49994,351.7901,348.81296,356.18964,361.0167,363.8437,365.78516,367.3568,368.74017,369.9698,371.0,369.17667,369.01904,390.69272
17,Demand Amoxicillin Fürth,2021-11-07,2021-10-24,407.0,371.0,364.78134,373.69876,364.98135,382.71094,327.02408,397.97305,409.24432,351.7901,348.81296,356.18964,361.0167,363.8437,365.78516,367.3568,368.74017,369.9698,371.0,369.17667,369.02164,382.18933
18,Demand Amoxicillin Fürth,2021-11-14,2021-10-24,419.0,371.0,391.40262,379.48325,381.7798,358.46484,365.66467,374.17877,416.34296,351.7901,348.81296,356.18964,361.0167,363.8437,365.78516,367.3568,368.74017,369.9698,371.0,369.17667,369.02374,405.99756
