review_id,store_name,city,state,rating,review_text,review_date,reviewer
1,McDonald's (Airport),Tulsa,OK,5,Good food at affordable prices. Great tasting burgers and crispy fries.,2021-09-11,user_67972
2,McDonald's,Miami,FL,5,"Best fries in fast food, always crispy. Quick service even during lunch rush. Restaurant was spotless and clean. Order was 100% correct. This is my go-to McDonald's!",2018-01-04,user_33717
3,McDonald's,Nashville,TN,5,Staff was friendly and helpful. Drive-thru was super fast. Tables were wiped down and floors were clean.,2024-05-06,user_98069
4,McDonald's (Airport),Tampa,FL,5,Restaurant was spotless and clean. They got everything right. The food quality has improved a lot. This is my go-to McDonald's!,2020-04-12,user_77669
5,McDonald's (Highway),Atlanta,GA,1,Food was clearly sitting under the heat lamp for hours. They forgot my order and I had to wait another 10 minutes.,2023-06-20,user_29369
6,McDonald's (Walmart),Fort Worth,TX,1,Fries were cold and limp. Slowest service I've ever experienced. Will not return. Save your money and go somewhere else!,2019-09-05,user_93061
7,McDonald's (Airport),Oklahoma City,OK,1,Not worth the price anymore. Had to wait at the counter while employees chatted. They forgot my drink and fries. Took 25 minutes to get a Happy Meal.,2021-04-27,user_15954
8,McDonald's (Highway),San Jose,CA,5,Great value for the money. Quick service even during lunch rush. Tables were wiped down and floors were clean. They got everything right.,2019-01-15,user_77982
9,McDonald's (Airport),Oklahoma City,OK,3,Hit or miss at this location. Great tasting burgers and crispy fries. ,2022-02-19,user_92029
10,McDonald's (Walmart),Fort Worth,TX,5,The crew was fast and efficient. Quick service even during lunch rush. Great deals on the app.,2020-02-29,user_62834
11,McDonald's Drive-Thru,Milwaukee,WI,4,"Order was 100% correct. No wait at all, very efficient. Bathrooms were surprisingly clean. Quick and courteous service. Will come back.",2018-01-16,user_50790
12,McDonald's (Walmart),Pittsburgh,PA,5,Service with a smile! They got everything right.,2020-02-15,user_80258
13,McDonald's,Omaha,NE,4,Staff was friendly and helpful. Dollar menu is a lifesaver. Breakfast menu is excellent here. Drive-thru was super fast.,2018-08-08,user_31786
14,McDonald's (Highway),Denver,CO,3,"About what you'd expect. Rude staff, will not return. Could be better.",2020-11-14,user_60518
15,McDonald's,Kansas City,MO,4,Staff was friendly and helpful. Dollar menu is a lifesaver. They got everything right. In and out in 5 minutes.,2024-01-15,user_49632
16,McDonald's Drive-Thru,Kansas City,MO,5,Can't beat the price! Food was hot and tasty as always. Highly recommended!...,2021-02-24,user_49578
17,McDonald's,Philadelphia,PA,1,missing items from my order. the line didn't move for ages.,2022-03-13,user_80164
18,McDonald's (Airport),Columbus,OH,4,"The Big Mac was fresh and delicious. Staff was friendly and helpful. Can't beat the price! Perfect order, nothing missing.",2020-07-17,user_97626
19,McDonald's (Airport),Louisville,KY,2,The line didn't move for ages. They forgot my drink and fries. Nobody seemed to care about the customers.,2019-10-23,user_51454
20,McDonald's,Atlanta,GA,5,McNuggets were perfectly cooked. Dollar menu is a lifesaver. Impressed by how friendly everyone was. This is my go-to McDonald's!,2021-03-09,user_20681
21,McDonald's (Highway),New York,NY,5,Fastest McDonald's I've been to. Impressed by how friendly everyone was. Great tasting burgers and crispy fries. Dollar menu is a lifesaver.,2021-09-28,user_42083
22,McDonald's (Highway),Sacramento,CA,5,Staff was friendly and helpful. Quarter Pounder was juicy and fresh. Highly recommended! ,2024-03-22,user_18842
