sighting_id,datetime,city,state,shape,duration_text,duration_seconds,description,date_posted
1,2016-07-04 13:08,Shreveport,LA,other,about 2 seconds,28,Just after around 10 My attention was drawn to a other-shaped light. It was green. Moved at a very high altitude.,2016-07-25
2,2017-03-31 21:06,San Francisco,CA,Triangle,about 45 seconds,119,I was outside at 10:00 PM when What looked like a triangle was seen in the western sky. It was pulsating red. Remained stationary then vanished. There were no clouds. My dog started barking.,2017-04-30
3,2020-07-27 16:23,Dayton,OH,triangle,1-2 minutes,364,While driving at 9 PM I spotted a glowing triangle shape moving across the sky. Made a sharp 90-degree turn which no aircraft could do. I have seen satellites and this was NOT a satellite. There was a faint buzzing noise.,2020-08-24
4,2021-09-07 20:25,Kansas City,KS,Fireball,2 to 3 minutes,1559,We were sitting outside around 10 PM when Noticed a fireball moving erratically across the sky. It was yellowish. Made a sharp 90-degree turn which no aircraft could do.,2021-11-27
5,2004-08-13 17:29,Bellevue,WA,FLASH,  3 seconds,99,Walking the dog at dusk We saw what appeared to be a flash in the sky. It was red. Dropped rapidly then stopped mid-air.,2004-09-05
6,2014-08-27 20:38,Tampa,FL,unknown,over an hour,9805,At approximately 10:30 PM Noticed a unknown moving erratically across the sky. It was reddish-orange. Moved erratically with sudden stops and starts.,2014-10-29
7,2019-07-05 08:30,Honolulu,HI,triangle,around 60 minutes,1490,Shortly before 9 PM Multiple triangle shaped objects appeared. Dropped rapidly then stopped mid-air. Electronics malfunctioned nearby. Called the local police.,2019-09-19
8,2006-08-08 03:02,Fargo,ND,fireball,about half an hour,5781,Stargazing at 8:30 PM Saw a very bright fireball-shaped object. It was orange. Moved slowly at first then accelerated at incredible speed. Temperature seemed to drop. This was unlike any drone.,2006-10-30
9,2002-05-28 07:12,Jacksonville,FL,light,~45 sec,7,Walking the dog at late evening There was a strange light hovering over the treeline. It was orange. Made a sharp 90-degree turn which no aircraft could do.,2002-06-19
10,2011-05-26 21:18,Asheville,NC,Disk,around 2 minutes,1561,At exactly 9:15 PM I noticed a bright disk-shaped object in the sky. It was silver. It moved from north to south very slowly.,2011-08-21
11,2020-12-19 13:38,San Francisco,CA,circle,about 10 hour,5710,SHORTLY BEFORE 9 PM A CIRCLE-SHAPED OBJECT WAS HOVERING ABOVE US. MOVED ERRATICALLY WITH SUDDEN STOPS AND STARTS. I HAVE SEEN SATELLITES AND THIS WAS NOT A SATELLITE.,2021-03-02
12,2023-04-09 09:22,Omaha,NE,circle, 15 minutes ,1397,While camping at late evening I spotted a glowing circle shape moving across the sky. Moved slowly at first then accelerated at incredible speed.,2023-05-16
13,2016-04-21 22:32,Virginia Beach,VA,Light,20 seconds,82,Shortly before 11:45 PM A single light object was visible for several minutes. It was blue-green. Moved at a very high altitude. No sound at all. Called the local police.,2016-06-08
14,2015-03-10 16:59,Las Vegas,NV,Formation,around 20 seconds,80,On my way home at 11:00 PM Noticed a formation moving erratically across the sky. It moved from north to south very slowly.  ,2015-05-02
15,2019-10-09 10:44,Arlington,TX,Light,5-10 seconds,106,Stargazing at 1:00 AM There was a large light object in the northern sky. It was green. Flew in a circular pattern. My whole family witnessed this.,2019-11-30
16,2017-05-01 08:16,Tampa,FL,light,several seconds,50,Returning from work at early morning There was a large light object in the northern sky. It was blue-green. Moved at a very high altitude.,2017-07-26
17,2005-12-30 16:20,Denver,CO,other,split second,90,SHORTLY BEFORE LATE EVENING A OTHER-SHAPED OBJECT WAS HOVERING ABOVE US. IT WAS PULSATING RED. FLEW IN A CIRCULAR PATTERN. I HAVE NEVER REPORTED ANYTHING LIKE THIS BEFORE.,2006-02-24
18,2019-05-15 18:13,Norfolk,VA,disk,3-5 minutes,1706, Stargazing at 1:00 AM Multiple disk shaped objects appeared. It was bright orange. The object appeared to descend then rose back up.,2019-05-25
19,2012-08-23 21:31,Savannah,GA,DISK,around 30 seconds,23,Stargazing at around 10 A bright disk appeared suddenly in the sky. It was green. Moved slowly at first then accelerated at incredible speed. Checked FlightRadar - no aircraft in the area.,2012-10-19
20,2016-07-27 22:28,Norman,OK,flash,10-20 seconds,81,Just after 2:30 AM A bright flash appeared suddenly in the sky. It was blue. Made a sharp 90-degree turn which no aircraft could do. It was much too large to be a drone.,2016-10-24
21,2004-06-11 19:26,Oakland,CA,circle,90 secs,62,At approximately sunset I spotted a glowing circle shape moving across the sky. Moved at a very high altitude. Partly cloudy.,2004-09-05
22,2017-03-15 22:39,Vancouver,WA,Sphere,instant,196,At approximately 2:30 AM Observed a sphere shaped craft silently moving. It was amber. Drifted slowly westward. There were pulsating lights.,2017-05-15
23,1997-12-12 13:04,Ogden,UT,LIGHT,10 hours,11979,At about 1:00 AM A light-shaped object was hovering above us. It was orange. The object appeared to descend then rose back up. Several neighbors also saw it.,1997-12-27
24,2019-05-19 00:19,Cambridge,MA,Circle,all night,30045,Stargazing at 3:00 AM There was a strange circle hovering over the treeline. Moved slowly at first then accelerated at incredible speed. Made a low humming sound. This was unlike any drone.,2019-05-21
25,2020-02-12 20:53,Grand Rapids,MI,circle,over 90 hours,9416,I was outside at early morning when I spotted a glowing circle shape moving across the sky. It was green. It zigzagged across the sky before disappearing. Electronics malfunctioned nearby.,2020-02-16
26,2013-07-12 21:21,Albany,NY,Other,3min,1504,I was outside at 8:30 PM when What looked like a other was seen in the western sky. Traveled from horizon to horizon in seconds. Reported to MUFON as well. Electronics malfunctioned nearby.,2013-08-21
27,2017-08-12 17:47,Mesa,AZ,Other,10 minutes,274,On my way home at late evening Saw a very bright other-shaped object. The object appeared to descend then rose back up.,2017-10-28
28,2008-04-08 16:19,San Diego,CA,triangle,all night,10561,While camping at 8:00 PM My attention was drawn to a triangle-shaped light. It was amber. Dropped rapidly then stopped mid-air. I have never reported anything like this before.,2008-04-17
29,2011-08-02 09:51,Mesa,AZ,light,split second,100,I looked up at 9 PM and A bright light appeared suddenly in the sky. Moved erratically with sudden stops and starts. Temperature seemed to drop. I have 20/20 vision.,2011-08-29
30,2016-02-08 10:04,Austin,TX,Circle,15-20 minutes,1469,While camping at 11 PM We saw what appeared to be a circle in the sky. It split into two separate lights. There were no clouds.,2016-02-27
31,2001-05-24 22:58,Philadelphia,PA,fireball,over 60 hours,8972,Around predawn I noticed a bright fireball-shaped object in the sky. Drifted slowly westward. Several neighbors also saw it. Completely silent.,2001-05-27
32,2023-05-02 21:11,Camden,NJ,formation,10-20 seconds,61,At exactly 10 PM Witnessed a formation-like object at high altitude. It was orange. It moved from north to south very slowly. No trail or exhaust visible.,2023-07-12
33,1999-04-04 23:25,Fargo,ND,disk,60min,1305,Stargazing at 8:30 PM Multiple disk shaped objects appeared. It was bright white. The object appeared to descend then rose back up.,1999-04-08
34,2023-04-06 15:00,Phoenix,AZ,Light,5 minutes,1497,Shortly before around 10 A single light object was visible for several minutes. It was reddish-orange. Traveled from horizon to horizon in seconds. I am a skeptic but cannot explain what I saw.,2023-04-24
35,2020-10-14 16:50,Virginia Beach,VA,triangle,15 min,944,I looked up at 8:30 PM and Witnessed a triangle-like object at high altitude. It was bright orange. Flew in a circular pattern. I have seen satellites and this was NOT a satellite.,2020-12-06
36,1999-09-26 17:42,Reno,NV,FIREBALL,less than a minute,235,While camping at 11 PM We saw what appeared to be a fireball in the sky. It was amber. It hovered silently for a while then moved away quickly. This was NOT a plane or helicopter. No trail or exhaust visible.,1999-10-30
37,2009-08-28 15:43,Bismarck,ND,cylinder,30 seconds to 1 minute,1294,Around 1:00 AM Multiple cylinder shaped objects appeared. Moved erratically with sudden stops and starts.,2009-09-10
38,2012-11-02 15:03,Allentown,PA,circle,20 min,388,Around predawn There was a strange circle hovering over the treeline. It was pulsating red. Made a sharp 90-degree turn which no aircraft could do.,2012-11-04
39,2021-05-18 10:28,Kailua,HI,triangle,5-10 seconds,50, While camping at 8:30 PM We saw what appeared to be a triangle in the sky.  It was glowing white.  Remained stationary then vanished.  I was completely sober.  I was completely sober.,2021-08-14
40,2019-11-24 19:57,Oklahoma City,OK,sphere,3-5 minutes,1316,Around just after dark Multiple sphere shaped objects appeared. It was bright orange. Dropped rapidly then stopped mid-air.,2020-01-17
41,2005-07-12 19:58,Buffalo,NY,triangle,20 hrs,9473,Around 11:00 PM Saw a very bright triangle-shaped object. Flew in a circular pattern. The object had lights around its edge. Other witnesses were present.  ,2005-10-07
42,2018-06-21 23:06,Madison,WI,light,3-5 minutes,1331,While camping at 11 PM Noticed a light moving erratically across the sky. Moved at a very high altitude.,2018-07-04
